player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0031583,Grady Jarrett,DT,CHI,1,1,2,0,0,0.0,0,0,0,0,0
00-0031588,Stefon Diggs,WR,NE,1,1,0,0,0,0.0,0,0,0,0,0
00-0031608,Quandre Diggs,S,TEN,1,2,1,0,0,0.0,0,0,0,0,0
00-0031898,Alex Singleton,LB,DEN,1,1,4,0,0,0.0,0,0,1,0,0
00-0031933,Leonard Williams,DE,SEA,1,3,4,1,0,0.0,1,0,0,0,0
00-0031957,Rakeem Nunez-Roches,DT,NYG,1,0,1,0,0,0.0,0,0,0,0,0
00-0032052,Dante Fowler Jr.,DE,DAL,1,0,0,0,0,0.0,1,0,0,0,0
00-0032065,Bradley Pinion,P,ATL,1,1,0,0,0,0.0,0,0,0,0,0
00-0032146,Bud Dupree,OLB,LAC,1,0,0,0,0,0.0,0,0,1,0,0
00-0032164,Arik Armstead,DE,JAX,1,0,1,0,0,0.0,1,0,0,0,0
00-0032378,DeForest Buckner,DT,IND,1,0,3,0,0,0.0,0,0,0,0,0
00-0032387,Jarran Reed,DT,SEA,1,2,3,0,0,0.0,2,0,0,0,0
00-0032388,Deion Jones,LB,TB,1,0,1,0,0,0.0,0,0,0,0,0
00-0032399,Miles Killebrew,SAF,PIT,1,1,0,0,0,0.0,0,0,0,0,0
00-0032415,Matthew Judon,OLB,MIA,1,1,1,0,0,0.0,0,0,0,0,0
00-0032442,Elandon Roberts,OLB,LV,1,1,0,0,0,0.0,0,0,0,0,0
00-0032667,Roy Robertson-Harris,DE,NYG,1,0,2,0,0,0.0,0,0,0,0,0
00-0032726,Ka'imi Fairbairn,K,HOU,1,1,0,0,0,0.0,0,0,0,0,0
00-0032759,Sheldon Rankins,DT,HOU,1,1,1,0,0,0.0,2,0,0,0,0
00-0032762,Chris Jones,DE,KC,1,0,2,0,0,0.0,0,0,0,0,0
00-0032763,Austin Johnson,NT,JAX,1,0,0,0,0,0.0,0,0,1,0,0
00-0032889,A'Shawn Robinson,DT,CAR,1,4,2,0,0,0.0,1,0,0,0,0
00-0033038,Eric Murray,S,JAX,1,3,4,0,0,0.0,1,0,2,0,0
00-0033046,Jihad Ward,LB,TEN,1,0,1,0,0,0.0,0,0,0,0,0
00-0033055,Jalen Ramsey,CB,PIT,1,2,1,0,0,0.0,1,0,2,0,0
00-0033073,Emmanuel Ogbah,DE,JAX,1,0,1,0,0,0.0,0,0,0,0,0
00-0033077,Dak Prescott,QB,DAL,1,1,0,0,0,0.0,0,0,0,0,0
00-0033109,Javon Hargrave,NT,MIN,1,3,2,2,0,2.0,1,0,0,0,0
00-0033120,Kenny Clark,NT,DAL,1,2,3,0,0,0.0,0,0,0,0,0
00-0033132,Kevin Byard,FS,CHI,1,5,0,0,0,0.0,0,0,0,0,0
00-0033156,Joey Bosa,DE,BUF,1,2,0,0,1,0.0,0,0,0,0,0
00-0033246,Johnny Mundt,TE,JAX,1,1,0,0,0,0.0,0,0,0,0,0
00-0033280,Christian McCaffrey,RB,SF,1,0,1,0,0,0.0,0,0,0,0,0
00-0033281,Marlon Humphrey,CB,BAL,1,4,0,0,0,0.0,0,0,0,0,0
00-0033294,Chuck Clark,SAF,PIT,1,4,2,1,0,0.0,0,0,0,0,0
00-0033297,D.J. Jones,DT,DEN,1,1,0,0,0,0.0,1,0,0,0,0
00-0033336,Eric Wilson,LB,MIN,1,3,2,1,0,0.0,0,0,0,0,0
00-0033381,Adam Butler,DT,LV,1,0,3,0,0,0.0,1,0,0,0,0
00-0033393,Kenny Moore II,CB,IND,1,2,2,0,1,1.0,1,0,1,0,0
00-0033523,Jonathan Allen,DE,MIN,1,1,2,0,0,0.0,0,0,0,0,0
00-0033526,Samaje Perine,RB,CIN,1,0,2,0,0,0.0,0,0,0,0,0
00-0033548,Chidobe Awuzie,CB,BAL,1,2,4,0,0,0.0,0,0,0,0,0
00-0033551,Rasul Douglas,CB,MIA,1,1,0,0,0,0.0,0,0,1,0,0
00-0033571,Matt Milano,OLB,BUF,1,4,0,0,0,1.0,1,0,0,0,0
00-0033576,Eric Saubert,TE,SEA,1,1,1,0,0,0.0,0,0,0,0,0
