season,team,games,points_for,points_against,ppg,oppg,net_ppg
2020,NYG,16,280,357,17.5,22.3125,-4.8125
2020,DAL,16,395,473,24.6875,29.5625,-4.875
2018,WAS,16,281,359,17.5625,22.4375,-4.875
2020,HOU,16,384,464,24.0,29.0,-5.0
2019,ARI,16,361,442,22.5625,27.625,-5.0625
2023,NYJ,17,268,355,15.764705882352942,20.88235294117647,-5.117647058823529
2019,DET,16,341,423,21.3125,26.4375,-5.125
2016,JAX,16,318,400,19.875,25.0,-5.125
2019,NYJ,16,276,359,17.25,22.4375,-5.1875
2020,PHI,16,334,418,20.875,26.125,-5.25
2017,NYJ,16,298,382,18.625,23.875,-5.25
2018,CIN,16,368,455,23.0,28.4375,-5.4375
2025,WAS,17,356,451,20.94117647058824,26.529411764705884,-5.5882352941176485
2021,CHI,17,311,407,18.294117647058822,23.94117647058824,-5.647058823529413
2017,DEN,16,289,382,18.0625,23.875,-5.8125
2018,SF,16,342,435,21.375,27.1875,-5.8125
2021,WAS,17,335,434,19.705882352941178,25.529411764705884,-5.8235294117647065
2021,CAR,17,304,404,17.88235294117647,23.764705882352946,-5.882352941176471
2025,CLE,17,279,379,16.41176470588235,22.294117647058822,-5.882352941176471
2019,JAX,16,300,397,18.75,24.8125,-6.0625
2017,HOU,16,338,436,21.125,27.25,-6.125
2022,ARI,17,340,449,20.0,26.41176470588235,-6.411764705882352
2018,BUF,16,269,374,16.8125,23.375,-6.5625
2019,LV,16,313,419,19.5625,26.1875,-6.625
2018,NYJ,16,333,441,20.8125,27.5625,-6.75
2024,JAX,17,320,435,18.823529411764707,25.58823529411765,-6.764705882352942
2019,NYG,16,341,451,21.3125,28.1875,-6.875
2024,DAL,17,350,468,20.58823529411765,27.529411764705884,-6.941176470588236
2017,MIA,16,281,393,17.5625,24.5625,-7.0
2020,CIN,16,311,424,19.4375,26.5,-7.0625
2018,MIA,16,319,433,19.9375,27.0625,-7.125
2023,ARI,17,330,455,19.41176470588235,26.764705882352946,-7.3529411764705905
2024,LV,17,309,434,18.176470588235293,25.529411764705884,-7.3529411764705905
2016,CHI,16,279,399,17.4375,24.9375,-7.5
2024,NE,17,289,417,17.0,24.529411764705884,-7.529411764705884
2023,NE,17,236,366,13.882352941176473,21.529411764705884,-7.647058823529413
2020,DEN,16,323,446,20.1875,27.875,-7.6875
2022,HOU,17,289,420,17.0,24.705882352941178,-7.7058823529411775
2025,ARI,17,355,488,20.88235294117647,28.705882352941178,-7.823529411764706
2022,CHI,17,326,463,19.176470588235293,27.235294117647054,-8.058823529411764
2022,IND,17,289,427,17.0,25.11764705882353,-8.117647058823529
2019,CAR,16,340,470,21.25,29.375,-8.125
2023,NYG,17,266,407,15.647058823529411,23.94117647058824,-8.294117647058824
2021,DET,17,325,467,19.11764705882353,27.47058823529412,-8.352941176470587
2024,NYG,17,273,415,16.058823529411764,24.41176470588235,-8.352941176470587
2016,NYJ,16,275,409,17.1875,25.5625,-8.375
2021,ATL,17,313,459,18.41176470588235,27.0,-8.588235294117649
2024,TEN,17,311,460,18.294117647058822,27.058823529411764,-8.764705882352942
2019,CIN,16,279,420,17.4375,26.25,-8.8125
2017,IND,16,263,404,16.4375,25.25,-8.8125
2017,NYG,16,246,388,15.375,24.25,-8.875
2020,DET,16,377,519,23.5625,32.4375,-8.875
2021,NYG,17,258,416,15.176470588235292,24.47058823529412,-9.294117647058822
2021,HOU,17,280,452,16.470588235294116,26.58823529411765,-10.117647058823533
2024,CLE,17,258,435,15.176470588235292,25.58823529411765,-10.411764705882357
2019,WAS,16,266,435,16.625,27.1875,-10.5625
2023,CAR,17,236,416,13.882352941176473,24.47058823529412,-10.588235294117643
2016,LAR,16,224,394,14.0,24.625,-10.625
2016,SF,16,309,480,19.3125,30.0,-10.6875
2017,CLE,16,234,410,14.625,25.625,-11.0
2018,LV,16,290,467,18.125,29.1875,-11.0625
2023,WAS,17,329,518,19.352941176470587,30.47058823529412,-11.117647058823527
2025,LV,17,241,432,14.176470588235292,25.41176470588235,-11.235294117647058
2024,CAR,17,341,534,20.058823529411764,31.41176470588235,-11.352941176470589
2025,TEN,17,284,478,16.705882352941178,28.11764705882353,-11.411764705882351
2021,NYJ,17,310,504,18.235294117647054,29.647058823529413,-11.411764705882357
2020,JAX,16,306,492,19.125,30.75,-11.625
2019,MIA,16,306,494,19.125,30.875,-11.75
2016,CLE,16,264,452,16.5,28.25,-11.75
2025,NYJ,17,300,503,17.647058823529413,29.58823529411765,-11.941176470588236
2021,JAX,17,253,457,14.882352941176473,26.88235294117647,-12.0
2018,ARI,16,225,425,14.0625,26.5625,-12.5
2020,NYJ,16,243,457,15.1875,28.5625,-13.375
